,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
7545,Cep57,52.20738936958019,1.092083739640798,0.0970992303154734,11.247089560778598,2.393604287525703e-29,2.487186677376678e-28,True
7546,Fam76b,36.10416453638855,-0.672516929859476,0.1153680387589527,-5.8293175223739135,5.565451758074431e-09,2.1754273657846592e-08,True
7547,Kdm4d,76.62016293104757,0.6877960395770101,0.0783131207676548,8.782641182409447,1.5967994681597746e-18,1.0794290335979178e-17,True
7548,Cwc15,29.18224976567797,0.6483915326320326,0.1309389670984624,4.951860756198423,7.35071958132655e-07,2.370010767666643e-06,True
7549,Amotl1,788.0172667155534,0.7336864976812981,0.0325002753992235,22.57477786476931,7.669415177945332e-113,3.854101512411149e-111,True
7553,Mre11a,622.5060669800378,-0.8477854590573362,0.0870328173329981,-9.740986044535427,2.0158866797417494e-22,1.611971936686041e-21,True
7555,Vstm5,123.37153033702543,1.6315893562351182,0.0820588534958011,19.883160521108245,5.693207740557559e-88,2.03604942672537e-86,True
7565,Zfp266,46.8444080940341,-0.6212376373023203,0.1012173549834445,-6.13765927200856,8.374624109080112e-10,3.4500689380351707e-09,True
7569,Ubl5,16.5138463589127,-2.342591624386499,0.2285702871594115,-10.248889536340776,1.1971090890869607e-24,1.055725857284557e-23,True
7577,S1pr2,22.05619179641885,-3.4609539583670617,0.5204558766463495,-6.649850858959144,2.933901579241127e-11,1.3495021256646195e-10,True
7582,Fdx2,43.8624088747787,1.052457111263178,0.1047411078046311,10.048176244481578,9.358326728154558e-24,7.91767865611838e-23,True
7583,1700084C06Rik,13.81183447807957,0.6012850116263914,0.1862667234583882,3.228086050274663,0.001246214801771,0.0026992574254858,True
7585,Cdc37,25.45827281153525,-1.9671187317716343,0.1694258084010842,-11.61050226252924,3.6446840416059965e-31,3.9961275560881294e-30,True
