,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Fructose and mannose metabolism Homo sapiens hsa00051,0.61075056,-0.45456538,0.28829736,-0.42018175,0.5318468,0.4617342,1.0681614,-1.2934797,0.7513825,-1.22019,0.9967166,0.98758096,0.3773774,0.16705883,0.8377016,0.20905173,0.495,0.522
GABAergic synapse Homo sapiens hsa04727,0.51728755,0.39046386,0.38404506,0.3205688,0.50378263,0.40796414,0.94491816,1.2572924,1.0999278,1.1524843,1.0000218,0.937966,0.671,0.16971713,0.29,0.22988506,0.504,0.745
Galactose metabolism Homo sapiens hsa00052,0.72096807,-0.31297907,0.29845533,0.3215369,0.42617905,0.36034715,1.2711115,-0.88181746,0.7720983,0.9035809,0.79473615,0.7652113,0.081162326,0.57719713,0.8123108,0.5871212,0.948,0.957
Gap junction Homo sapiens hsa04540,0.55453646,0.34073353,0.50030315,0.20582244,0.49464986,0.42843547,1.0085084,1.0899365,1.423462,0.7312579,0.983877,0.98299336,0.471,0.2944,0.008,0.90421456,0.574,0.563
Gastric acid secretion Homo sapiens hsa04971,0.5534502,0.4116781,0.48836774,0.23214172,0.52296156,0.46482232,0.99633116,1.2279468,1.3696905,0.7604537,1.0186195,1.0392464,0.529,0.19873817,0.04004004,0.82978725,0.399,0.346
Glioma Homo sapiens hsa05214,0.51789594,0.28767145,0.41898945,0.23438995,0.4734563,0.35354012,0.94029206,0.8947667,1.1817635,0.81211203,0.9363461,0.8080148,0.676,0.6142626,0.17617618,0.79924244,0.749,0.979
Glucagon signaling pathway Homo sapiens hsa04922,0.5118118,-0.22549026,0.3444417,-0.27658242,0.4991161,0.45684457,0.93580294,-0.7839518,0.9831581,-1.0126786,0.9976833,1.0625466,0.71,0.7547684,0.548,0.42054263,0.505,0.228
Glutamatergic synapse Homo sapiens hsa04724,0.5349331,0.4264935,0.3843312,0.28995278,0.47944167,0.40393773,0.9800034,1.4318511,1.1115044,1.0818847,0.95879036,0.94134307,0.569,0.083333336,0.244,0.32755297,0.702,0.744
Glutathione metabolism Homo sapiens hsa00480,0.64733297,-0.21418303,0.294846,-0.23974386,0.50729936,0.47836736,1.1581607,-0.6943629,0.8217426,-0.77541023,0.98504895,1.0722879,0.14,0.90379745,0.79458916,0.8088803,0.55,0.242
Glycerolipid metabolism Homo sapiens hsa00561,0.69697356,0.43268445,0.33635512,0.35633835,0.4084244,0.36051747,1.261307,1.2736137,0.92026293,1.1461909,0.79251826,0.8050221,0.055,0.1524288,0.6406406,0.23728813,0.987,0.963
Glycerophospholipid metabolism Homo sapiens hsa00564,0.5381296,-0.21713513,0.3114574,-0.31306383,0.47696847,0.42264006,0.99221116,-0.7409365,0.8951253,-1.1660285,0.95594007,0.9815899,0.536,0.81360203,0.731,0.18972331,0.726,0.555
"Glycine, serine and threonine metabolism Homo sapiens hsa00260",0.6625351,0.42488393,0.36145648,0.36974788,0.5872763,0.533152,1.1762146,1.1964879,0.9515084,1.0794947,1.1111151,1.1509887,0.16516517,0.22036728,0.57459676,0.3550186,0.178,0.149
Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.6526568,-0.36148408,0.2831922,-0.38530874,0.5199368,0.46316344,1.1756502,-1.1716369,0.7857484,-1.3101943,1.019616,1.048829,0.118,0.20308483,0.856,0.104743086,0.408,0.321
