,names,rank,logfoldchanges,pvals_adj
358,Abi3,7.686849730430279,20.000635,0.4127334985374595
359,Gm17234,7.676937403498325,19.974844,0.4127334985374595
360,Btg2,7.652974672017874,19.912495,0.4127334985374595
361,Scrn2,7.570921247761005,19.698997,0.4127334985374595
362,Zfp993,7.555179692625908,19.65804,0.4127334985374595
363,Rnf165,7.468866504147652,19.433458,0.4127334985374595
364,Tex11,7.4407656950506595,19.360342,0.4127334985374595
365,Trit1,7.429392395808737,19.33075,0.4127334985374595
366,Map4k1,7.332197785870791,19.077856,0.4127334985374595
367,Skap2,7.267691423422101,18.910015,0.4127334985374595
368,Xlr4b,140.27083766176696,8.217475,8.514861961023123e-18
369,Gm20721,233.27289763077889,7.876764,2.424811052765182e-30
370,Syngr3,53.95394423720334,7.183229,3.082484895983416e-08
371,Cpa6,51.84941037881589,7.1366863,5.430077657476293e-08
372,Zbtb39,72.92603647755391,7.0362577,4.321939001416577e-11
373,1700027J07Rik,152.51821014574918,6.9024014,8.00943555883774e-23
374,Tmem94,142.1517202445735,6.86656,1.985964723944889e-21
375,Specc1l,133.3778909412645,6.4507127,2.1064047497839428e-21
376,H2-Eb1,57.10316514398657,6.445455,1.3821442916273544e-09
377,Tacc1,56.76477012330095,6.3945084,1.3270506465694521e-09
378,1700028I16Rik,28.87400978476608,6.1578884,2.046696393890595e-05
379,Gm34455,50.685535731227986,6.1324744,5.4312089743908336e-09
380,Mdh1b,36.49936870827733,6.129075,1.1088720078711233e-06
381,Lrrc3b,35.61806410835134,6.094056,1.429808816141244e-06
382,Depdc1b,135.87614054408516,5.973164,1.7874492057384216e-23
383,4930448E22Rik,459.4196438751679,5.9251013,2.898311155933075e-78
384,Pon2,40.23991668733193,5.9229827,1.6074584216998362e-07
385,Gm26513,36.842266702220506,5.8036447,4.4861536583547616e-07
386,Dpysl4,42.203459411128,5.7844815,5.0584838123496696e-08
387,Prpf19,16.716334285767257,5.7513394,0.0012401907471038258
388,Tceal8,69.14525989979731,5.7080245,7.696732552026396e-13
389,Enah,23.60979288516791,5.679433,6.965162483797258e-05
390,Trim63,198.53506185443896,5.671041,9.804500711665988e-36
391,1700001C19Rik,177.40885307137006,5.664802,4.8111663124682454e-32
392,Thbs2,37.43382164579083,5.6125355,2.1395326878540003e-07
393,Gm41611,96.87259324441408,5.6037436,5.162724268087136e-18
394,Itgb1,27.474816126665075,5.596299,1.2317947725060928e-05
395,Siae,145.45027969508817,5.578407,8.4371757794275e-27
396,Gm17203,71.2699628617991,5.5350785,1.330292944360817e-13
397,Med20,28.65745703386928,5.5073605,6.259172298483238e-06
398,Inka1,159.53802414495556,5.4566617,5.7903615679767994e-30
399,Gm6277,23.585861962372228,5.4347773,4.572957105737664e-05
400,Vwa7,16.428557581835506,5.426224,0.0009383777094462436
401,Dnah2os,32.535338859236845,5.4059453,9.584367033316325e-07
402,Hdac5,16.12060636450228,5.3665113,0.0009909993400732827
403,1700082M22Rik,17.49632483838244,5.339755,0.0005289131669227197
404,Gm49878,25.850498981879927,5.277963,1.2652686767037707e-05
405,6430710C18Rik,31.298072199023963,5.266269,1.139933597388673e-06
406,Zfp251,35.374030768118914,5.2644343,1.907935898962666e-07
407,Sestd1,16.933771204727034,5.2278166,0.0005765446572578301
408,Gm48957,6.010301847303863,5.2198577,0.07056182234720075
409,D830013O20Rik,59.86322956581975,5.206685,3.1814227267338573e-12
410,Mark1,542.3035969163317,5.1823916,2.2724826974322075e-105
411,Hist1h2bl,201.29644605003855,5.1657076,1.076871823394577e-39
412,Abhd13,29.086607621576277,5.1649866,2.336161177496954e-06
413,E2f3,175.50755342324905,5.14601,7.842226205065854e-35
414,Gm3772,11.298752317846866,5.141803,0.006347020190199304
415,Gm30054,12.59848649984353,5.1382394,0.00353258589067273
416,Gm36363,419.29860335757826,5.1291976,1.7889287538841103e-82
417,2310002D06Rik,11.414846619291103,5.107148,0.005820060012044942
418,Raph1,19.729963236457923,5.1004567,0.0001354335208083886
419,Pcdhga9,54.50829877704272,5.080794,1.8693750861593173e-11
420,Cdc25c,51.06668484647933,5.0481515,7.657417712833675e-11
421,Gm31513,19.58296758360521,5.03282,0.0001285131375325018
422,Edar,13.386412298779833,5.024252,0.0021659115409001163
423,Frs3,9.500871346221018,4.993073,0.012508048947508347
424,Fxyd3,17.752300694510648,4.9901094,0.0002770146488616977
425,Ppm1m,13.861581743028333,4.979913,0.0016462711011732585
426,Hmgcr,9.771385344068166,4.9797635,0.010908907174723712
427,Ptprcap,55.044700993214434,4.9719543,8.491040146298388e-12
428,Gm19967,614.2703515797589,4.9655504,1.9660885162982705e-124
429,Fkbp15,10.28145634529711,4.947028,0.008350074566538936
430,Gm20711,105.11694601105138,4.944301,5.492584010290064e-22
431,Gm17455,36.18153786961137,4.9442806,4.80997858823673e-08
432,Zbp1,92.24723152430154,4.9232306,1.8317498760004817e-19
433,1500026H17Rik,18.391808054905127,4.9223266,0.0001834824366330194
434,Gm48683,438.2836343543214,4.911313,5.759643275732296e-90
435,Haglr,10.10535521282878,4.891822,0.008594781319451494
436,Isy1,21.37509476834388,4.8441477,3.867581638468285e-05
437,Znhit3,9.544446842571269,4.8251686,0.01051829689249945
438,Ifi204,13.125758069074044,4.8229613,0.001898828463456306
439,Lactb2,11.442914934226849,4.8153253,0.004203843318451343
440,Gm49808,11.327094369978964,4.8143463,0.004438341301244673
441,Mttp,14.507288065514649,4.8045726,0.0009561471528036958
442,Gm11827,37.440770933871455,4.79691,1.5660819720352737e-08
443,Afap1l2,72.12353774427339,4.794251,9.041590417706151e-16
444,Efhc1,64.10735306091095,4.789902,4.1318614326616174e-14
445,Gm9939,30.503775163802523,4.785579,4.225683022334458e-07
446,Kif16b,23.506502262439533,4.781129,1.2119447641299374e-05
447,4933401D09Rik,15.8411649137182,4.761634,0.000471157507478364
